"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Quiz","30157R","034","3:00-4:50pm","Friday","50","21","0","","DEN@Viterbi"
"CSCI-590","Directed Research","","1.0-12.0 units","Lecture","30162D","048","TBA","","100","15","0","Barath Raghavan","OFFICE"
"CSCI-591","Computer Science Research Colloquium","","1.0 units, max 2","Lecture","30076D","048","10:00-11:20am","Mon, Wed","80","28","0","Nenad Medvidovic","OHE132"
"","","","","Lecture","30222D","048","10:00-11:20am","Tue, Thu","75","65","0","Nenad Medvidovic","OHE136"
"","","","","Lecture","30223D","034","10:00-11:20am","Tue, Thu","30","14","0","Nenad Medvidovic","DEN@Viterbi"
"CSCI-593","Mathematical Foundations for System Design: Modeling, Analys","","4.0 units","Lecture","30773R","048","4:00-5:50pm","Tue, Thu","30","4","0","Pierluigi Nuzzo","LVL13"
"","","","","Lab","30800R","048","12:00-12:50pm","Wednesday","30","4","0","","OFFICE"
"CSCI-594a","Master's Thesis","","2.0 units","Lecture","30168D","048","TBA","","25","2","0","","OFFICE"
"CSCI-594b","Master's Thesis","P","2.0 units","Lecture","30169D","048","TBA","","25","1","0","","OFFICE"
"CSCI-594z","Master's Thesis","P","0.0 units","Lecture","30170D","048","TBA","","25","0","0","","OFFICE"
"CSCI-599","Special Topics","","2.0-4.0 units, max 9"
"","Introduction to Holodecks","","4.0","Lecture","30010R","048","5:00-6:50pm","Mon, Wed","25","9","0","Shahram Ghandeharizadeh","GFS213"
"","Geometric Shape Modeling","","4.0","Lecture","30015R","048","3:30-5:20pm","Tue, Thu","25","13","0","Oded Stein","GFS228"
"","Autonomous Decision-Making","","4.0","Lecture","30026D","048","5:00-6:50pm","Tue, Thu","25","23","0","Thomy Phan","KAP166"
"","3D Vision","","4.0","Lecture","30041D","048","5:00-6:50pm","Tue, Thu","28","25","0","Yajie Zhao","SOSB52"
"","Introduction to Networked Systems for Cloud Computing","","4.0","Lecture","30044D","048","4:00-5:50pm","Mon, Wed","15","11","0","Ramesh Govindan","KAP147"
"","Software Engineering for Security","","4.0","Lecture","30279R","048","1:00-4:20pm","Friday","25","9","0","Weihang Wang","GFS109"
"CSCI-625","Program Synthesis and Computer-Aided Verification","","4.0 units","Lecture","30093R","048","3:30-5:20pm","Mon, Wed","25","7","0","Mukund Raghothaman","DMC209"
"CSCI-641","Computational Human-Robot Interaction","","4.0 units","Lecture","30203D","048","8:00-9:50am","Mon, Wed","30","12","0","Stefanos Nikolaidis","VHE206"
"CSCI-644","Natural Language Dialogue Systems","","4.0 units","Lecture","30007D","048","1:00-4:20pm","Wednesday","25","16","0","Kallirroi Georgila David Traum","THHB9"
"CSCI-655","Advanced Topics in Operating Systems","P","4.0 units","Lecture","30233D","048","2:00-3:50pm","Mon, Wed","5","3","0","Harsha Madhyastha","VPD112"
"CSCI-656","Networked Systems in Cloud Computing","P","4.0 units","Lecture","30363D","048","4:00-5:50pm","Mon, Wed","20","9","0","Ramesh Govindan","KAP147"
"CSCI-658","Diagnosis and Design of Reliable Digital Systems","","4.0 units","Lecture","30883R","048","11:00-2:50pm","Saturday","40","16","0","Moe Tabar","KAP158"
"CSCI-670","Advanced Analysis of Algorithms","PC","4.0 units","Lecture","30313D","048","10:00-11:50am","Mon, Wed","74","61","0","Ming-Deh Huang","LVL17"
"CSCI-697","Seminar in Computer Science Research","MC","1.0 units, max 2","Lecture","30176D","048","12:00-12:50pm","Monday","90","80","0","Barath Raghavan","SGM101"
