"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Discussion","30489D","034","11:00-11:50am","Friday","20","9","0","Keith Jenkins","DEN@Viterbi"
"EE-561","Foundations of Artificial Intelligence","","4.0 units","Lecture","30071D","048","3:00-4:50pm","Mon, Wed","330","197","0","Laurent Itti","SGM123"
"","","","","Discussion","30070R","048","TBA","","330","197","0","","OFFICE"
"","","","","Quiz","30034R","048","TBA","","330","197","0","","OFFICE"
"","","","","Lecture","29936D","034","3:00-4:50pm","Mon, Wed","30","23","0","Laurent Itti","DEN@Viterbi"
"","","","","Discussion","30030R","034","TBA","","30","23","0","","DEN@Viterbi"
"","","","","Quiz","30035R","034","TBA","","30","23","0","","DEN@Viterbi"
"EE-562","Random Processes in Engineering","P","4.0 units","Lecture","30867D","034","10:00-11:50am","Mon, Wed","20","1","0","Ashutosh Nayyar","DEN@Viterbi"
"","","","","Lecture","30991R","048","10:00-11:50am","Mon, Wed","53","34","0","Ashutosh Nayyar","OHE100D"
"","","","","Discussion","30865D","034","4:00-4:50pm","Tuesday","20","1","0","","DEN@Viterbi"
"","","","","Discussion","30891R","048","4:00-4:50pm","Tuesday","53","32","0","","RTH109"
"EE-563","Inference and Estimation: Theory and Algorithms","P","4.0 units","Lecture","30587R","048","9:00-10:50am","Tue, Thu","25","7","0","Maryam Shanechi","WPH207"
"","","","","Discussion","31122R","048","12:00-12:50pm","Friday","45","7","0","","KAP156"
"EE-565","Information Theory and Its Application to (Big) Data Science","P","4.0 units","Lecture","30890R","048","10:00-11:50am","Mon, Wed","1","0","0","Urbashi Mitra",""
"EE-569","Introduction to Digital Image Processing","","4.0 units","Lecture","30744D","034","8:00-9:50am","Mon, Wed","20","2","0","Jay Kuo","DEN@Viterbi"
"","","","","Discussion","30903D","034","10:00-10:50am","Friday","20","2","0","","DEN@Viterbi"
"","","","","Lecture","30499R","048","8:00-9:50am","Mon, Wed","121","39","0","Jay Kuo","OHE122"
"","","","","Discussion","30981R","048","10:00-10:50am","Friday","121","39","0","","OHE122"
"EE-570a","Advanced Electromagnetic Theory","","4.0 units","Lecture","30788R","048","9:00-10:50am","Tue, Thu","28","8","0","Aluizio Prata","VHE210"
"","","","","Discussion","30958R","048","2:00-3:50pm","Tuesday","28","7","0","","OHE230"
"EE-577a","VLSI System Design","P","4.0 units","Lecture","30758D","034","10:00-11:50am","Mon, Wed","20","7","0","Shahin Nazarian","DEN@Viterbi"
"","","","","Discussion","30680D","034","9:00-9:50am","Friday","20","7","0","Shahin Nazarian","DEN@Viterbi"
"","","","","Lecture","30759R","048","10:00-11:50am","Friday","62","58","0","Sandeep Gupta Sridhar Narayanan","THH208, THH208"
"","","","","Discussion","30881R","048","9:00-9:50am","Monday","62","58","0","Sandeep Gupta Sridhar Narayanan","THH210"
"","","","","Quiz","30402R","048","TBA","","62","57","0","Sandeep Gupta","OFFICE"
"","","","","Lecture","30760D","048","10:00-11:50am","Mon, Wed","40","24","0","Shahin Nazarian","OHE120"
"","","","","Discussion","30679R","048","9:00-9:50am","Friday","60","24","0","Shahin Nazarian","OHE132"
"","","","","Quiz","30401R","048","TBA","","150","32","0","Shahin Nazarian","OFFICE"
"EE-577b","VLSI System Design","P","4.0 units","Lecture","30911R","048","8:00-10:50am","Saturday","40","25","0","Moe Tabar","KAP158"
"","","","","Discussion","30673R","048","3:00-3:50pm","Friday","40","25","0","","GFS207"
"EE-578","Computational Electromagnetics for Engineers","","4.0 units","Lecture","30781R","048","12:00-1:50pm","Tue, Thu","30","18","0","Constantine Sideris","VHE214"
"EE-581","Mathematical Foundations for System Design: Modeling, Analys","","4.0 units","Lecture","30773R","048","4:00-5:50pm","Tue, Thu","30","4","0","Pierluigi Nuzzo","LVL13"
"","","","","Lab","30800R","048","12:00-12:50pm","Wednesday","30","4","0","","OFFICE"
"EE-587","Nonlinear Control Systems","P","4.0 units","Lecture","30960R","048","9:00-10:50am","Mon, Wed","30","5","0","Mihailo Jovanovic","THH213"
"EE-590","Directed Research","","1.0-12.0 units","Lecture","30783D","048","TBA","","300","92","0","Richard Leahy Tony Levi","OFFICE"
"EE-591","Magnetic Resonance Imaging and Reconstruction","P","3.0 units","Lecture","31118R","048","2:00-3:20pm","Tue, Thu","30","9","0","Krishna Nayak","KAP158"
"EE-592","Computational Methods for Inverse Problems","P","4.0 units","Lecture","31300R","048","9:00-10:50am","Tue, Thu","50","5","0","Justin Haldar","KAP144"
"EE-594a","Master's Thesis","C","2.0 units","Lecture","30775D","048","TBA","","26","0","0","","OFFICE"
"EE-594b","Master's Thesis","PC","2.0 units","Lecture","30777R","048","TBA","","25","0","0","","OFFICE"
"EE-594z","Master's Thesis","PC","0.0 units","Lecture","30779R","048","TBA","","25","0","0","","OFFICE"
"EE-597","Wireless Networks","P","4.0 units","Lecture","30516R","048","10:00-11:50am","Mon, Wed","36","13","0","Bhaskar Krishnamachari","DMC207"
"","","","","Discussion","30933R","048","TBA","","36","13","0","","OFFICE"
"EE-598","Electrical Engineering Research Seminar","C","1.0 units, max 2","Lecture","30941D","048","2:00-2:50pm","Wednesday","30","17","0","Pierluigi Nuzzo","EEB248"
"EE-599","Special Topics","","1.0-8.0 units, max 9"
"","Systems for Machine Learning","","4.0","Lecture","30683R","048","6:30-8:20pm","Wednesday","40","35","0","Arash Saifhashemi","KAP146, WPH207, KAP146"
"","Robotic Mobility","","4.0","Lecture","31224D","048","2:00-3:50pm","Tue, Thu","30","6","0","Feifei Qian","EEBB18"
"","Learning and Control for Safety-Critical Robotic Systems","","4.0","Lecture","31229D","048","4:00-5:20pm","Mon, Wed","35","14","0","Somil Bansal","DMC205"
"","Analog, Mixed Signal, and RF Integrated Circuit Measurements","","4.0","Lecture","31236D","048","12:00-1:50pm","Tue, Thu","20","11","0","Susan Schober","OHE230"
"","Intelligent Multimedia Systems","","4.0","Lecture","31238R","048","2:00-3:50pm","Mon, Wed","1","0","0","Feng Qian",""
"","Bioelectronics","","4.0","Lecture","31322R","048","12:00-1:50pm","Mon, Wed","35","9","0","Yasser Khan","DMC256"
"EE-607","Microelectromechanical Systems","","4.0 units","Lecture","30694R","048","9:00-11:50am","Friday","25","10","0","Eun Kim","KAP165, GFS104"
"EE-626","Survey of Energy and Power for a Sustainable Future","","4.0 units","Lecture","28920D","034","12:00-1:50pm","Mon, Wed","45","13","0","Wei Wu","DEN@Viterbi"
"","","","","Lecture","29084R","048","12:00-1:50pm","Mon, Wed","30","16","0","Wei Wu","OHE100C"
